,Data
1057,-0.181
1058,-0.235
1059,-0.278
1060,-0.309
1061,-0.326
1062,-0.327
1063,-0.312
1064,-0.282
1065,-0.24
1066,-0.188
1067,-0.128
1068,-0.064
1069,0.002
1070,0.066
1071,0.124
1072,0.172
1073,0.207
1074,0.227
1075,0.229
1076,0.213
1077,0.182
1078,0.138
1079,0.087
1080,0.035
1081,-0.014
1082,-0.055
1083,-0.082
1084,-0.095
1085,-0.091
1086,-0.072
1087,-0.042
1088,-0.003
1089,0.038
1090,0.076
1091,0.106
1092,0.123
1093,0.124
1094,0.11
1095,0.083
1096,0.046
1097,0.006
1098,-0.034
1099,-0.07
1100,-0.097
1101,-0.115
1102,-0.123
1103,-0.12
1104,-0.108
1105,-0.088
1106,-0.061
1107,-0.031
1108,0.001
1109,0.031
1110,0.058
1111,0.078
1112,0.091
1113,0.096
1114,0.094
1115,0.083
1116,0.065
1117,0.04
1118,0.011
1119,-0.022
1120,-0.057
1121,-0.091
1122,-0.12
1123,-0.141
1124,-0.151
1125,-0.146
1126,-0.129
1127,-0.101
1128,-0.066
1129,-0.029
1130,0.003
1131,0.028
1132,0.044
1133,0.049
1134,0.046
1135,0.039
1136,0.031
1137,0.026
1138,0.027
1139,0.034
1140,0.048
1141,0.067
1142,0.09
1143,0.113
1144,0.135
1145,0.155
1146,0.17
1147,0.178
1148,0.177
1149,0.166
1150,0.143
1151,0.109
1152,0.063
1153,0.009
1154,-0.051
1155,-0.114
1156,-0.175
1157,-0.229
1158,-0.271
1159,-0.297
1160,-0.301
1161,-0.283
1162,-0.244
1163,-0.188
1164,-0.121
1165,-0.049
1166,0.019
1167,0.08
1168,0.128
1169,0.162
1170,0.179
1171,0.179
1172,0.163
1173,0.131
1174,0.088
1175,0.038
1176,-0.013
1177,-0.06
1178,-0.096
1179,-0.119
1180,-0.125
1181,-0.115
1182,-0.089
1183,-0.051
1184,-0.005
1185,0.044
1186,0.09
1187,0.13
1188,0.159
1189,0.178
1190,0.183
1191,0.175
1192,0.155
1193,0.125
1194,0.088
1195,0.048
1196,0.01
1197,-0.025
1198,-0.052
1199,-0.071
1200,-0.081
1201,-0.085
1202,-0.084
1203,-0.083
1204,-0.083
1205,-0.085
1206,-0.088
1207,-0.091
1208,-0.093
1209,-0.091
1210,-0.084
1211,-0.073
1212,-0.057
1213,-0.04
1214,-0.022
1215,-0.006
1216,0.006
1217,0.012
1218,0.011
1219,0.003
1220,-0.009
1221,-0.021
1222,-0.029
1223,-0.029
1224,-0.018
1225,0.006
1226,0.042
1227,0.088
1228,0.137
1229,0.184
1230,0.22
1231,0.24
1232,0.236
1233,0.207
1234,0.151
1235,0.071
1236,-0.026
1237,-0.13
1238,-0.231
1239,-0.316
1240,-0.377
1241,-0.404
1242,-0.393
1243,-0.344
1244,-0.26
1245,-0.149
1246,-0.019
1247,0.119
1248,0.251
1249,0.367
1250,0.458
1251,0.515
1252,0.535
1253,0.516
1254,0.458
1255,0.366
1256,0.246
1257,0.107
1258,-0.038
1259,-0.179
1260,-0.304
1261,-0.404
1262,-0.472
1263,-0.503
1264,-0.5
1265,-0.463
1266,-0.398
1267,-0.315
1268,-0.22
1269,-0.123
1270,-0.031
1271,0.05
1272,0.115
1273,0.162
1274,0.192
1275,0.205
1276,0.203
1277,0.189
1278,0.165
1279,0.132
1280,0.093
1281,0.052
1282,0.011
1283,-0.027
1284,-0.056
1285,-0.075
1286,-0.08
1287,-0.07
1288,-0.044
1289,-0.003
1290,0.05
1291,0.111
1292,0.173
1293,0.228
1294,0.268
1295,0.287
1296,0.281
1297,0.248
1298,0.192
1299,0.116
1300,0.028
1301,-0.062
1302,-0.148
1303,-0.22
1304,-0.274
1305,-0.305
1306,-0.312
1307,-0.297
1308,-0.264
1309,-0.217
1310,-0.162
1311,-0.106
1312,-0.052
1313,-0.003
1314,0.039
1315,0.074
1316,0.099
1317,0.115
1318,0.12
1319,0.116
1320,0.103
1321,0.082
1322,0.057
1323,0.029
1324,0.001
1325,-0.025
1326,-0.048
1327,-0.065
1328,-0.075
1329,-0.078
1330,-0.074
